reference;wholesale_price;price;;;;;;discount
MMAPL-LOGO-TBKMD;7,7;14;;;;;;30
MMAPL-LOGO-TBKSM;7,7;14;;;;;;30
MMAPL-LOGO-TBKXL;7,7;14;;;;;;30
MMAPL-LOGO-TTBKM;7,15;13;;;;;;30
MMAPL-LOGO-TTBKSM;7,15;13;;;;;;30
MMAPL-MRGLNLG;8,8;16;;;;;;30
MMAPL-MRGLNMD;8,8;16;;;;;;30
MMAPL-MRGLNSM;8,8;16;;;;;;30
MMAPL-MRGLNXL;8,8;16;;;;;;30
MMAPL-OMB-TBKL;9,9;18;;;;;;30
MMAPL-OMB-TBKM;9,9;18;;;;;;30
MMAPL-OMB-TBKS;9,9;18;;;;;;30
MMAPL-OMB-TBKXL;9,9;18;;;;;;30
MMAPL-OMB-TWHL;9,9;18;;;;;;30
MMAPL-OMB-TWHM;9,9;18;;;;;;30
MMAPL-OMB-TWHS;9,9;18;;;;;;30
MMAPL-OMB-TWHXL;9,9;18;;;;;;30
MMAPL-PONCHO;7,15;13;;;;;;30
MMAPL-SCRIPT-BKL;9,9;18;;;;;;30
MMAPL-SCRIPT-BKM;9,9;18;;;;;;30
MMAPL-SCRIPT-BKS;9,9;18;;;;;;30
MMAPL-SCRIPT-BKXL;9,9;18;;;;;;30
MMAPL-SCRIPT-GYL;9,9;18;;;;;;30
MMAPL-SCRIPT-GYM;9,9;18;;;;;;30
MMAPL-SCRIPT-GYS;9,9;18;;;;;;30
MMAPL-SCRIPT-GYXL;9,9;18;;;;;;30
MMAPL-SCRIPT-TTBKM;7,15;13;;;;;;30
MMAPL-SCRIPT-TTBKSM;7,15;13;;;;;;30
MMAPL-SCRIPT-TTWTM;7,15;13;;;;;;30
MMAPL-SCRIPT-TTWTSM;7,15;13;;;;;;30
MMAPL-TDYE-TWHM;9,9;18;;;;;;30
MMAPL-TDYE-TWHS;9,9;18;;;;;;30
MMAPL-TDYE-TWHXL;9,9;18;;;;;;30
MMAPL-ZHOOD-EMBRBKL;30,25;55;;;;;;30
MMAPL-ZHOOD-EMBRBKM;30,25;55;;;;;;30
MMAPL-ZHOOD-EMBRBKS;30,25;55;;;;;;30
MMAPL-ZHOOD-EMBRBKXL;30,25;55;;;;;;30
MMAPL-ZHOOD-EMBRBKXS;30,25;55;;;;;;30
MMB-350Z-001;322,48;586,33;;;;;;30
MMB-350Z-002;537,14;976,62;;;;;;30
MMB-350Z-003;223,06;405,57;;;;;;30
MMB-350Z-004;492,13;894,79;;;;;;30
MMBB-10ANBK;18,17;33,04;;;;;;30
MMBB-STBK;18,17;33,04;;;;;;30
MMBCC-350Z-03PBE;174,56;317,39;;;;;;30
MMBCC-350Z-07PBE;253,17;460,3;;;;;;30
MMBCC-370Z-09PBE;253,17;460,3;;;;;;30
MMBCC-ACRD15-18PBEBK;107,19;194,89;;;;;;30
MMBCC-ACRD15-18PBERD;107,19;194,89;;;;;;30
MMBCC-ACRD20-18PBEBK;107,19;194,89;;;;;;30
MMBCC-ACRD20-18PBERD;107,19;194,89;;;;;;30
MMBCC-BKTS-BK;22,59;41,07;;;;;;30
MMBCC-BKTS-BL;22,59;41,07;;;;;;30
MMBCC-BKTS-GN;22,59;41,07;;;;;;30
MMBCC-BKTS-PR;22,59;41,07;;;;;;30
MMBCC-BKTS-RD;22,59;41,07;;;;;;30
MMBCC-BRZ-13PBE;107,19;194,89;;;;;;30
MMBCC-CBBTM-XLBK;28,89;52,53;;;;;;30
MMBCC-CBTHR-BK;86,26;156,83;;;;;;30
MMBCC-CBTHR-P;91,37;166,12;;;;;;30
MMBCC-CBTHR-RD;86,26;156,83;;;;;;30
MMBCC-CBTHR-XLBK;88,2;160,36;;;;;;30
MMBCC-CBTWO-BK;93,41;169,83;;;;;;30
MMBCC-CBTWO-P;98,51;179,11;;;;;;30
MMBCC-CBTWO-RD;93,41;169,83;;;;;;30
MMBCC-CBTWO-XLBK;76,48;139,05;;;;;;30
MMBCC-CF;177,62;322,95;;;;;;30
MMBCC-CIV-16PBE;78,09;141,99;;;;;;30
MMBCC-CTR-17PBEBK2;107,19;194,89;;;;;;30
MMBCC-CTR-17PBERD2;107,19;194,89;;;;;;30
MMBCC-DRAIN-01;23,09;41,98;;;;;;30
MMBCC-DRAIN-02;16,21;29,47;;;;;;30
MMBCC-F80-15CAW;155,82;283,31;;;;;;30
MMBCC-F80-15CAY;155,82;283,31;;;;;;30
MMBCC-F80-15CBE;155,82;283,31;;;;;;30
MMBCC-F80-15CBS;155,82;283,31;;;;;;30
MMBCC-F80-15CFDB;155,82;283,31;;;;;;30
MMBCC-F80-15CFDG;155,82;283,31;;;;;;30
MMBCC-F80-15CLRG;155,82;283,31;;;;;;30
MMBCC-F80-15CMG;155,82;283,31;;;;;;30
MMBCC-F80-15CMW;155,82;283,31;;;;;;30
MMBCC-F80-15CSMB;155,82;283,31;;;;;;30
MMBCC-F80-15CSO;155,82;283,31;;;;;;30
MMBCC-F80-15CSS;155,82;283,31;;;;;;30
MMBCC-F80-15CYMB;155,82;283,31;;;;;;30
MMBCC-FIST-14PBE;115,87;210,67;;;;;;30
MMBCC-FOST-13PBE2;111,78;203,24;;;;;;30
MMBCC-G37-08PBE;253,17;460,3;;;;;;30
MMBCC-HF;107,8;196;;;;;;30
MMBCC-MIA-16PBE;111,78;203,24;;;;;;30
MMBCC-MS3-07PBE2;110,76;201,38;;;;;;30
MMBCC-MUS4-15PBE;91,37;166,12;;;;;;30
MMBCC-MUS8-15PBE;111,78;203,24;;;;;;30
MMBCC-MUS8-18PBE;105,96;192,66;;;;;;30
MMBCC-N20N26-12CBE2;118,93;216,23;;;;;;30
MMBCC-N54-06CBE2;118,93;216,23;;;;;;30
MMBCC-N55-11CBE2;124,54;226,44;;;;;;30
MMBCC-Q50-16PBE;130,66;237,57;;;;;;30
MMBCC-RGR-11BE;139,74;254,08;;;;;;30
MMBCC-RS-16PBE2;121,28;220,5;;;;;;30
MMBCC-S4-18PBE;189,84;345,17;;;;;;30
MMBCC-STI-08SBE;277,16;503,92;;;;;;30
MMBCC-STNGR-18PBE;107,8;196;;;;;;30
MMBCC-SUP-20CBE;189,63;344,78;;;;;;30
MMBCC-UNI-BK;168,44;306,25;;;;;;30
MMBCC-UNI-BL;168,44;306,25;;;;;;30
MMBCC-UNI-GN;168,44;306,25;;;;;;30
MMBCC-UNI-PR;168,44;306,25;;;;;;30
MMBCC-UNI-RD;168,44;306,25;;;;;;30
MMBCC-WR6-07PBE2;117,15;213;;;;;;30
MMBCC-WRX-08SBE;257,76;468,65;;;;;;30
MMBC-MNL-BK;36,62;66,59;;;;;;30
MMBC-MNL-GD;36,62;66,59;;;;;;30
MMB-E36-001;411,38;747,97;;;;;;30
MMB-E46-001;507,52;922,76;;;;;;30
MMB-E46-002;376,31;684,2;;;;;;30
MMB-F80-PP;1129,45;2053,54;;;;;;30
MMB-F80-PPCAW;1129,45;2053,54;;;;;;30
MMB-F80-PPCAY;1129,45;2053,54;;;;;;30
MMB-F80-PPCBS;1129,45;2053,54;;;;;;30
MMB-F80-PPCFDB;1129,45;2053,54;;;;;;30
MMB-F80-PPCFDG;1129,45;2053,54;;;;;;30
MMB-F80-PPCLRG;1129,45;2053,54;;;;;;30
MMB-F80-PPCMG;1129,45;2053,54;;;;;;30
MMB-F80-PPCMW;1129,45;2053,54;;;;;;30
MMB-F80-PPCSMB;1129,45;2053,54;;;;;;30
MMB-F80-PPCSO;1129,45;2053,54;;;;;;30
MMB-F80-PPCSS;1129,45;2053,54;;;;;;30
MMB-F80-PPCYMB;1129,45;2053,54;;;;;;30
MMB-MIA-001;287,43;522,6;;;;;;30
MMB-WRX-001;404,57;735,59;;;;;;30
MMB-WRX-002;776,45;1411,73;;;;;;30
