AERO KIT,,,,,,,,,,
,8,1CCTY13B10-,"TOYOTA A90 SUPRA Carbon Fiber Body Kit
(front Splitters + Side Skirts + Rear Diffuser + Rear Splitters+Spoiler) ","US$3,380 ","US$2,366 ","US$2,197 ",,"US$2,028 ",,
Standard Cold CARBON AIR INTAKE ,,,,,,,,,,
New,No.,Part#,Description,MSRP,"Tier 1
30% off
10 SET","Tier 2
35% off
11-30 SET","Tier 3
40% off
31 SET above","Tier 4
45% off
Distributor",,
AUDI,,,,,,,,,,
,1,ARMAADA314-A,A3 8V 1.4 carbon fiber airbox (front air duct self modify),US$858 ,US$601 ,US$558 ,US$515 ,US$472 ,,
,2,ARMAGOLF6G-A,A3 8P 1.8T carbon fiber airbox,US$803 ,US$562 ,US$522 ,US$482 ,US$442 ,,
,3,ARMAADA318-A,"A3 8V 1.8 / 
S3 8V 2.0 / carbon fiber airbox","US$1,089 ",US$762 ,US$708 ,US$653 ,US$599 ,,
,4,ARMAADA4B8-A,A4 B8 2.0T  carbon fiber airbox,US$765 ,US$536 ,US$497 ,US$459 ,US$421 ,,
,5,ARMAAA4B85-A,A4 B8.5 2.0T carbon fiber airbox,US$765 ,US$536 ,US$497 ,US$459 ,US$421 ,,
,6,ARMAAUDIA5-A,A5 B8 2.0T  carbon fiber airbox,US$765 ,US$536 ,US$497 ,US$459 ,US$421 ,,
,7,ARMAAA5B85-A,A5 B8.5 2.0T carbon fiber airbox,US$765 ,US$536 ,US$497 ,US$459 ,US$421 ,,
,8,ARMAADA4B9-A,A4 B9  2.0T  carbon fiber airbox ,"US$1,100 ",US$770 ,US$715 ,US$660 ,US$605 ,,
,9,ARMAADA4B9-B,A4 B9  2.0T  carbon fiber airbox with maf sensor,"US$1,100 ",US$770 ,US$715 ,US$660 ,US$605 ,,
,10,ARMAAUDIS4-A,S4 B8 / B8.5 carbon fiber airbox,"US$1,188 ",US$832 ,US$772 ,US$713 ,US$653 ,,
,11,ARMAAUDIS5-A,S5 B8 / B8.5 carbon fiber airbox,"US$1,188 ",US$832 ,US$772 ,US$713 ,US$653 ,,
,12,ARMAAUDITT-A,TT 8S 45 TFSI carbon fiber airbox,"US$1,089 ",US$762 ,US$708 ,US$653 ,US$599 ,,
