Brand,  Price Ex VAT ,Reference,Name,Package size in cm,Filter Type
Eventuri, 609.00 ,EVE-S1-CF-INT,Audi S1 2 TFSI Black Carbon intake,38x38x30,B
"Eventuri,"" 1,333.00 "",EVE-8YS3-CF-INT,""Audi S3 8Y 2020+, TTS 2022+ Carbon Intake"",92x31x40,D2"
Eventuri, 885.00 ,EVE-2TFSI-CF-INT,Audi S3 8V 2 TFSI Full Black Carbon intake,38x38x38,B
"Eventuri,"" 1,647.00 "",EVE-8VRS3-CF-LHD-INT,Audi 8V RS3 LHD Full Black Carbon intake Gen 1,92x31x40,B"
"Eventuri,"" 1,647.00 "",EVE-8VRS3-CF-RHD-INT,Audi 8V RS3 RHD Full Black Carbon intake Gen 1,92x31x40,B"
"Eventuri,"" 1,714.00 "",EVE-ST38V8S-CF-INT,Audi RS3 Gen 2 / TTRS 8S intake for DAZA and DWNA Engines,92x31x40,D"
Eventuri, 400.00 ,EVE-RSQ3-DCT,Audi RS3 Gen 2 Duct for APR Throttle Body,92x31x40,
Eventuri, 781.00 ,EVE-ST38V8S-CF-HDP,Audi RS3 Carbon Headlamp Race Ducts for Stage 3 intake,71x38x35,
"Eventuri,"" 1,714.00 "",EVE-ST38Y-CF-INT,Audi RS3 8Y 2020+ Carbon Intake,92x31x40,D"
Eventuri, 571.00 ,EVE-TRB8V8S-LHD-NIL ,Audi RS3 / TTRS Gen 2 8V 8Y LHD Carbon turbo inlet with NO FLANGE,42x30x13,
Eventuri, 571.00 ,EVE-TRB8V8S-RHD-NIL ,Audi RS3 / TTRS Gen 2 8V 8Y RHD Carbon turbo inlet with NO FLANGE,42x30x13,
Eventuri, 47.00 ,EVE-TRB8V8S-FLG-STK,Stock Turbo Flange for RS3/TTRS Carbon Turbo Inlet,10x10x10,
Eventuri, 47.00 ,EVE-TRB8V8S-FLG-TTE,TTE700/625 Turbo Flange for RS3/TTRS Carbon Turbo Inlet,10x10x10,
Eventuri, 47.00 ,EVE-TRB8V8S-FLG-SRM,SRM GTX Turbo Flange for RS3/TTRS Carbon Turbo Inlet,10x10x10,
Eventuri, 571.00 ,EVE-ST38V8S-CF-ENG,Audi RS3 Gen 2 / TTRS 8S Black and Red Engine Cover,68x38x15,
"Eventuri,"" 1,714.00 "",EVE-RSQ3-CF-INT,Audi RSQ3 F3 2019+ Carbon Intake,92x31x40,D"
Eventuri, 71.00 ,EVE-RSQ3-DWNA,Audi RSQ3 DWNA Adapter set,27x17x12,
"Eventuri,"" 2,425.00 "",EVE-RS5-INT,Audi B8 RS5/RS4 Black Carbon intake,92x22x40,S"
Eventuri, 809.00 ,EVE-RS4-CF-SLM,Audi B8 RS4 Black Carbon Slam Panel Cover,121x30x12,
Eventuri, 809.00 ,EVE-RS5-CF-SLM,Audi B8 RS5 Black Carbon Facelift Slam Panel Cover,121x30x12,
Eventuri, 762.00 ,EVE-RS5-CF-ENG,Audi B8 RS5/RS4 Black Carbon Engine Cover,68x38x15,
"Eventuri,"" 1,380.00 "",EVE-B9S5-CF-INT,Audi B9 S5/S4 Black Carbon intake,38x38x38,B"
"Eventuri,"" 1,571.00 "",EVE-B9RS5-CF-INT,Audi B9 RS5/RS4 Black Carbon intake with secondary duct,92x31x40,B"
"Eventuri,"" 2,238.00 "",EVE-C7S6-CF-INT,Audi C7 S6 S7 Black Carbon intake,92x31x40,S"
"Eventuri,"" 2,719.00 "",EVE-4V8TT-CF-INT,Audi SQ7 / SQ8 2020+ 4 TFSI V8 Twin Turbo Intake,97x76x22,L2"
"Eventuri,"" 2,238.00 "",EVE-C7RS6-CF-INT,Audi C7 RS6 RS7 Black Carbon intake,92x31x40,S"
"Eventuri,"" 2,650.00 "",EVE-C8RS6-CF-INT,Audi C8 RS6 RS7 Black Carbon intake Gloss,100x35x17,C8"
"Eventuri,"" 2,650.00 "",EVE-C8RS6-CFM-INT,Audi C8 RS6 RS7 Black Carbon intake Matte,100x35x17,C8"
Eventuri, 438.00 ,EVE-C8RS6-TTE,Audi C8 RS6 RS7 TTE 888/1020 Hybrid Turbo Inlets ,19x19x18,
Eventuri, 630.00 ,EVE-C8RS6-CF-ENG,Audi C8 RS6 RS7 Black Carbon Engine Cover Gloss,71x66x13,
Eventuri, 630.00 ,EVE-C8RS6-CFM-ENG,Audi C8 RS6 RS7 Black Carbon Engine Cover Matte,71x66x13,
Eventuri, 70.00 ,EVE-C8RS6-PCV,Audi C8 RS6 2023 Breather Adapter Kit,10x10x10,
"Eventuri,"" 2,719.00 "",EVE-4V8TT-CF-INT,Audi RSQ7 / RSQ8 2020+ 4 TFSI V8 Twin Turbo Intake,97x76x22,L2"
"Eventuri,"" 2,210.00 "",EVE-HCN-CF-INT,Audi R8 V10 4S 2015+,92x31x40,B"
"Eventuri,"" 2,719.00 "",EVE-4V8TT-CF-INT,Bentayga 4 TFSI V8 Twin Turbo Intake ,97x76x22,L2"
"Eventuri,"" 1,238.00 "",EVE-B58-CF-INT,""BMW B58 M140i, M240i, M340i Black Carbon intake"",71x38x35,B"
"Eventuri, 619.00 ,EVE-B58F-CF-ENG,""BMW B58 M140i, M240i, M340i  F Series Carbon Engine Cover"",72x72x21,"
"Eventuri,"" 1,238.00 "",EVE-E39-INT,BMW E39 M5 Black Carbon intake,92x31x40,B"
Eventuri, 928.00 ,EVE-E46-INT,BMW E46 M3 Black Carbon intake,38x38x38,B
Eventuri, 176.00 ,EVE-E46-SC,BMW E46 M3 Carbon Scoop ,TBC,
"Eventuri,"" 1,295.00 "",EVE-E60-CF-INT,BMW E6X M5/M6 Black Carbon intake,38x38x38,B"
Eventuri, 828.00 ,EVE-E9X-CF-INT,BMW E9X M3 Black Carbon intake Gloss,38x38x30,E
