reference;wholesale_price;price;;;;;;discount
EVE-A45S-CF-INT;799,80;1333,00;;;;;;25
EVE-AMGGT-CF-INT;1428,00;2380,00;;;;;;25
EVE-AMGGT-CFM-INT;1428,00;2380,00;;;;;;25
EVE-C63S-CF-INT;1628,40;2714,00;;;;;;25
EVE-C63S-DCT;97,20;162,00;;;;;;25
EVE-GLC63S-CF-INT;1628,40;2714,00;;;;;;25
EVE-JCWGP3-INT;925,20;1542,00;;;;;;25
EVE-F60-306-INT;783,00;1305,00;;;;;;25
EVE-F56-CF-INT;925,20;1542,00;;;;;;25
EVE-F56-LCI-CF-INT;925,20;1542,00;;;;;;25
EVE-F56-PL-INT;571,20;952,00;;;;;;25
EVE-F56-LCI-PL-INT;571,20;952,00;;;;;;25
EVE-F60-CF-INT;782,40;1304,00;;;;;;25
EVE-F60-LCI-CF-INT;782,40;1304,00;;;;;;25
EVE-F60-PL-INT;399,00;665,00;;;;;;25
EVE-F60-LCI-PL-INT;399,00;665,00;;;;;;25
EVE-P991T-INT;1342,80;2238,00;;;;;;25
EVE-GT3RS-INT;1342,80;2238,00;;;;;;25
EVE-4V8TT-CF-INT;1631,40;2719,00;;;;;;25
EVE-2TFSI-CF-INT;531,00;885,00;;;;;;25
EVE-EA8884-GTi-INT;799,80;1333,00;;;;;;25
EVE-EA8884-R-INT;799,80;1333,00;;;;;;25
EVE-ST38Y-CF-INT;1028,40;1714,00;;;;;;25
EVE-A90-CF-INT;799,80;1333,00;;;;;;25
EVE-A90B48-INT;799,80;1333,00;;;;;;25
EVE-A90-CF-HDP;474,00;790,00;;;;;;25
EVE-A90-CF-ENG;342,00;570,00;;;;;;25
EVE-GR4-CF-ENG;342,00;570,00;;;;;;25
EVE-GR4-CFM-ENG;342,00;570,00;;;;;;25
EVE-GR4-CF-INT;780,00;1300,00;;;;;;25
EVE-GR4-CFM-INT;780,00;1300,00;;;;;;25
EVE-GR4CR-CF-INT;864,00;1440,00;;;;;;25
EVE-GR4CR-CFM-INT;864,00;1440,00;;;;;;25
EVE-2TFSI-CF-INT;531,00;885,00;;;;;;25
EVE-EA8884-R-INT;799,80;1333,00;;;;;;25
EVE-EA8884-GTI-INT;799,80;1333,00;;;;;;25
EVE-EA8884-CF-ENG;342,00;570,00;;;;;;25
EVE-FLC;16,80;28,00;;;;;;25
EVE-151-G2-FTR;51,00;85,00;;;;;;25
EVE-661-G2-FTR;51,00;85,00;;;;;;25
EVE-991-FTR ;51,00;85,00;;;;;;25
EVE-W210-FTR ;57,00;95,00;;;;;;25
EVE-15144-G2-FTR;51,00;85,00;;;;;;25
EVE-W192-FTR ;57,00;95,00;;;;;;25
EVE-1046-FTR;51,00;85,00;;;;;;25
EVE-E46-PF;35,40;59,00;;;;;;25
EVE-F8XM-PF;68,40;114,00;;;;;;25
EVE-F10M5-PF;68,40;114,00;;;;;;25
EVE-N55-PF;48,60;81,00;;;;;;25
EVE-FX34M-PF;114,00;190,00;;;;;;25
EVE-C63-FTR;68,40;114,00;;;;;;25
EVE-C8BMC-FTR;151,20;252,00;;;;;;25
EVE-Vbadge;8,40;14,00;;;;;;25
EVE-F56-MAF;42,60;71,00;;;;;;25
EVE-F56-LCI-MAF;42,60;71,00;;;;;;25
