reference;wholesale_price;price
VWR12P1GTC;205,73;428,61
VWR12P2GTG;304,66;634,71
VWR12P2GTM;304,66;634,71
VWR12PRWRC;417,69;614,25
VWR12UPGT;195,9;408,14
VWR12UPGTCOMP;241,77;503,69
VWR121000;169,7;353,54
VWR121001;169,7;353,54
VWR121002;169,7;353,54
VWR121003;169,7;353,54
VWR1213RS;692,37;1442,44
VWR120000;18,02;30,03
VWR120001;3,28;6,83
VWR120002;3,28;6,83
VWR120030S3PA;26,75;47,78
VWR1200BRAC;21,84;34,13
VWR1200BUNG;13,1;21,84
VWR1200G5PA;26,75;47,78
VWR1200G6PA;26,75;47,78
VWR1200L0CR;26,75;47,78
VWR12G614FO;64,97;116,03
VWR12G6GTFO;53,24;102,38
VWR12G6GTFOC;63,88;122,85
VWR12G60RAB;53,24;102,38
VWR12G60RFO;53,24;102,38
VWR12G60RFOC;63,88;122,85
VWR12G7R600FO;53,24;102,38
VWR12G7R600SPAF ;16,38;27,3
VWR12G7R601FO;78,08;150,15
VWR12G7R602FO;78,08;150,15
VWR12G7R603FO;92,27;177,45
VWR12UPGTFO;58,01;111,56
VWR12P1GTFO;53,24;102,38
VWR12P1GTFOC;63,88;122,85
VWR12PRWRCFO;47,56;91,46
VWR1241S4FO;123,83;221,13
VWR21G702;458,64;955,5
VWR21G702CUP;229,32;477,75
VWR21G702R;458,64;955,5
VWR21G702RCUP;229,32;477,75
VWR21G701;516,95;1076,99
VWR21G70RV;1014,3;1950,59
VWR21G70RVRES;1092,38;2100,74
VWR21G70RNV;751,68;1445,54
VWR21G70RNVRES;822,66;1582,04
VWR120003;122,52;255,26
VWR120010;122,52;255,26
VWR120011;85,17;177,44
VWR12G7R600ITRED;52,42;109,2
VWR12G7R600ITBLA;52,42;109,2
VWR12G7R600ITBLU;52,42;109,2
VWR12G7R600ITGREY;52,42;109,2
VWR12G7R602ITBLA;52,42;109,2
VWR12G7R600ITINLET;68,8;143,33
VWR12P1GTIS38;138,6;288,75
VWR12P101;45,68;95,16
VWR12P102;26,78;55,78
VWR12UPITINLET;53,73;111,93
VWR140004;108,65;226,35
VWR140006;108,65;226,35
VWR140007;18,9;39,38
VWR140010;108,65;226,35
VWR140011;157,49;328,11
VWR14G700;425,88;887,25
VWR14G7IS38COMP;1572,48;3276
VWR14G7IS38COMP;1965,6;3276
VWR160000;78,62;163,8
VWR160001;58,97;122,85
VWR16G7TDEL;58,97;122,85
VWR17G7R600;26,21;54,6
VWR17G8R600;26,21;54,6
VWR90000;21,11;43,74
VWR900001;21,11;43,74
VWR900002;21,11;43,74
VWR13G500;230,69;443,63
VWR130004;2,95;6,14
VWR130006;27,85;58,01
VWR131000;425,87;887,24
