reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
SKGD2-AVB00;105;150;150;126;180;;;20
SKGB2-AUB00;84;120;120;100,8;144;;;20
SKGB2-S3B00;84;120;120;100,8;144;;;20
GSGC0-8UAS2;480;640;640;576;768;;;15
SKGC0-AUB00;126;180;180;151,2;216;;;20
VSGC0-C1AS1;615;820;820;738;984;;;15
VSGF4-F1SS2;408;680;680;489,6;816;;;30
VSGJ6-F1SS2;408;680;680;489,6;816;;;30
VSGB6-A1DS2;228;380;380;273,6;456;;;30
VSGB6-B1DS3;276;460;460;331,2;552;;;30
VSF84-A1DS2;228;380;380;273,6;456;;;30
VSF84-B1DS3;318;530;530;381,6;636;;;30
VSAHN-B1DS3;318;530;530;381,6;636;;;30
VSAEV-A1DS2;228;380;380;273,6;456;;;30
VSGH4-A1DS2;276;460;460;331,2;552;;;30
VSGH4-B1DS2;312;520;520;374,4;624;;;30
VSGC0-A1DS2;252;420;420;302,4;504;;;30
VSGC0-B1DS2;288;480;480;345,6;576;;;30
VSGF4-A1DS2;276;460;460;331,2;552;;;30
VSGJ6-A1DS2;276;460;460;331,2;552;;;30
SKH94-S3B00;133;190;190;159,6;228;;;20
VSH02-C1SA3;502,5;670;670;603;804;;;15
VSH02-C1SS3;502,5;670;670;603;804;;;15
SKA50-S3B00;105;150;150;126;180;;;20
GSHD6-8USS2;367,5;490;490;441;588;;;15
GSHD6-9USS2;420;560;560;504;672;;;15
SKA36-AUB00;84;120;120;100,8;144;;;20
SKA36-S3B00;84;120;120;100,8;144;;;20
GSA36-8USS2;345;460;460;414;552;;;15
GSA36-9USS2;390;520;520;468;624;;;15
GSH48-91SS2;390;520;520;468;624;;;15
SKH26-S1B00;98;140;140;117,6;168;;;20
SKH26-S3B00;98;140;140;117,6;168;;;20
GSA00-8USS2;345;460;460;414;552;;;15
GSA00-9USS2;390;520;520;468;624;;;15
SKA00-S3B00;73,5;105;105;88,2;126;;;20
GSH00-71SS1;825;1100;1100;990;1320;;;15
VSH00-C1SS3;502,5;670;670;603;804;;;15
VSH00-K1LS1;975;1300;1300;1170;1560;;;15
SKH36-AVB00;91;130;130;109,2;156;;;20
GSH98-8USS2;345;460;460;414;552;;;15
GSH98-9USS2;390;520;520;468;624;;;15
GSA22-8USS2;360;480;480;432;576;;;15
GSA22-9USS2;412,5;550;550;495;660;;;15
SKA22-S3B00;77;110;110;92,4;132;;;20
VSA22-CUSA1;682,5;910;910;819;1092;;;15
SKA92-S3B00;119;170;170;142,8;204;;;20
SKHA2-S1B00;98;140;140;117,6;168;;;20
SKHA2-S3B00;98;140;140;117,6;168;;;20
VSHA2-C1AA1;615;820;820;738;984;;;15
VSHA2-C1AS1;615;820;820;738;984;;;15
GSHH6-8UAS2;405;540;540;486;648;;;15
GSHH6-9UAS3;450;600;600;540;720;;;15
SKHH6-AUB00;98;140;140;117,6;168;;;20
SKHH6-S3B00;98;140;140;117,6;168;;;20
VSHH6-CUAA4;630;840;840;756;1008;;;15
GSAA6-8UAS2;405;540;540;486;648;;;15
VSAA6-CUAS4;630;840;840;756;1008;;;15
VSAFV-CUAA4;615;820;820;738;984;;;15
SKA12-AVB00;119;170;170;142,8;204;;;20
VSB56-C1AA1;562,5;750;750;675;900;;;15
VSB56-C1AS1;562,5;750;750;675;900;;;15
SKHK8-S1B00;112;160;160;134,4;192;;;20
SKHK8-S3B00;112;160;160;134,4;192;;;20
VSHK8-K1NS4;1500;2000;2000;1800;2400;;;15
GSHA2-91AS2;420;560;560;504;672;;;15
GSHA6-81AS2;390;520;520;468;624;;;15
SKHA6-G1B00;112;160;160;134,4;192;;;20
SKHA6-S3B00;112;160;160;134,4;192;;;20
VSHA6-C1AS2;562,5;750;750;675;900;;;15
GSA94-81AS2;405;540;540;486;648;;;15
VSA94-C1AS3;547,5;730;730;657;876;;;15
VSA04-C1AS2;562,5;750;750;675;900;;;15
GSB80-81AS2;390;520;520;468;624;;;15
GSB80-91AS2;420;560;560;504;672;;;15
GSHB2-81AA2;345;460;460;414;552;;;15
GSHB2-91AA2;375;500;500;450;600;;;15
VSB80-C1AS2;562,5;750;750;675;900;;;15
VSHB2-C1AA2;562,5;750;750;675;900;;;15
SKB74-S5B00;98;140;140;117,6;168;;;20
SKB36-S3B00;98;140;140;117,6;168;;;20
GSHD8-81AS2;390;520;520;468;624;;;15
VSHD8-C1AA2;562,5;750;750;675;900;;;15
VSHD8-C1AS2;562,5;750;750;675;900;;;15
GSA02-71SS1;1050;1400;1400;1260;1680;;;15
GSA70-81SS2;360;480;480;432;576;;;15
SKA62-C3B00;112;160;160;134,4;192;;;20
VSA70-C1SA3;502,5;670;670;603;804;;;15
GSH92-8USS2;345;460;460;414;552;;;15
GSH92-9USS2;390;520;520;468;624;;;15
VSH92-C1SA3;502,5;670;670;603;804;;;15
SKA30-S3B00;105;150;150;126;180;;;20
DSH64-81LS1;1875;2500;2500;2250;3000;;;15
GSH64-71SS3;825;1100;1100;990;1320;;;15
VSH64-C1SS3;502,5;670;670;603;804;;;15
VSH64-K1LS3;975;1300;1300;1170;1560;;;15
SKA58-AVB00;91;130;130;109,2;156;;;20
GSB18-81AS2;457,5;610;610;549;732;;;15
GSB98-81AS2;457,5;610;610;549;732;;;15
VSB98-C1AS3;577,5;770;770;693;924;;;15
VSA50-A1DS2;216;360;360;259,2;432;;;30
VSA50-B1DS2;252;420;420;302,4;504;;;30
VSA00-B1DS2;252;420;420;302,4;504;;;30
VSH98-A1DS2;216;360;360;259,2;432;;;30
VSH98-B1DS2;252;420;420;302,4;504;;;30
VSA22-A1DS2;258;430;430;309,6;516;;;30
VSA22-B1DS2;294;490;490;352,8;588;;;30
VSA84-A1DS2;276;460;460;331,2;552;;;30
VSA84-B1DS2;312;520;520;374,4;624;;;30
VSHH6-A1DS2;228;380;380;273,6;456;;;30
VSHH6-B1DS2;264;440;440;316,8;528;;;30
VSHH8-A1DS2;228;380;380;273,6;456;;;30
VSHH8-B1DS2;264;440;440;316,8;528;;;30
VSB64-A1DS2;240;400;400;288;480;;;30
VSB64-B1DS2;276;460;460;331,2;552;;;30
VSHD0-A1DS2;240;400;400;288;480;;;30
VSHD0-B1DS2;276;460;460;331,2;552;;;30
VSHA6-A1DS2;228;380;380;273,6;456;;;30
VSHA6-B1DS2;264;440;440;316,8;528;;;30
VSHJ6-A1DS2;228;380;380;273,6;456;;;30
VSHJ6-B1DS2;264;440;440;316,8;528;;;30
VSA04-A1DS2;228;380;380;273,6;456;;;30
VSA04-B1DS2;264;440;440;316,8;528;;;30
VSB80-A1DS2;228;380;380;273,6;456;;;30
VSB80-B1DS2;264;440;440;316,8;528;;;30
VSHD8-A1DS2;228;380;380;273,6;456;;;30
VSHD8-B1DS2;264;440;440;316,8;528;;;30
VSF42-B1DS2;264;440;440;316,8;528;;;30
GSP24-71AS3;877,5;1170;1170;1053;1404;;;15
GSP26-8UAS2;375;500;500;450;600;;;15
VSP24-C1AA3;547,5;730;730;657;876;;;15
VSP24-K1NS3;1087,5;1450;1450;1305;1740;;;15
GSP92-71AS3;877,5;1170;1170;1053;1404;;;15
GSP92-8UAS2;375;500;500;450;600;;;15
VSK04-K1NS3;1087,5;1450;1450;1305;1740;;;15
VSP92-C1AA3;547,5;730;730;657;876;;;15
VSP08-A1DS2;216;360;360;259,2;432;;;30
VSP08-B1DS2;252;420;420;302,4;504;;;30
VSI06-F1SS2;408;680;680;489,6;816;;;30
VSAAS-F1SS2;408;680;680;489,6;816;;;30
VSI04-A1DS2;222;370;370;266,4;444;;;30
VSI06-A1DS2;204;340;340;244,8;408;;;30
