reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
VSGM4-A1DS2;240;400;400;288;480;;;0,3
VSGM4-B1DS2;276;460;460;331,2;552;;;0,3
VSAEN-B1DS2;276;460;460;331,2;552;;;0,3
VSF86-A1DS2;204;340;340;244,8;408;;;0,3
GSM90-91AS3;450;600;600;540;720;;;0,15
GSGB6-9VAS3;480;640;640;576;768;;;0,15
SKG40-S3B00;98;140;140;117,6;168;;;0,2
GSM80-91AS3;480;640;640;576;768;;;0,15
SKM98-G1B00;105;150;150;126;180;;;0,2
SKGD2-AVB00;105;150;150;126;180;;;0,2
SKGB2-AUB00;84;120;120;100,8;144;;;0,2
SKGB2-S3B00;84;120;120;100,8;144;;;0,2
GSGC0-8UAS2;480;640;640;576;768;;;0,15
SKGC0-AUB00;126;180;180;151,2;216;;;0,2
VSGC0-C1AS1;615;820;820;738;984;;;0,15
VSGF4-F1SS2;408;680;680;489,6;816;;;0,3
VSGJ6-F1SS2;408;680;680;489,6;816;;;0,3
VSGB6-A1DS2;228;380;380;273,6;456;;;0,3
VSGB6-B1DS3;276;460;460;331,2;552;;;0,3
VSF84-A1DS2;228;380;380;273,6;456;;;0,3
VSF84-B1DS3;318;530;530;381,6;636;;;0,3
VSAHN-B1DS3;318;530;530;381,6;636;;;0,3
VSAEV-A1DS2;228;380;380;273,6;456;;;0,3
VSGH4-A1DS2;276;460;460;331,2;552;;;0,3
VSGH4-B1DS2;312;520;520;374,4;624;;;0,3
VSGC0-A1DS2;252;420;420;302,4;504;;;0,3
VSGC0-B1DS2;288;480;480;345,6;576;;;0,3
VSGF4-A1DS2;276;460;460;331,2;552;;;0,3
VSGJ6-A1DS2;276;460;460;331,2;552;;;0,3
SKH94-S3B00;133;190;190;159,6;228;;;0,2
VSH02-C1SA3;502,5;670;670;603;804;;;0,15
VSH02-C1SS3;502,5;670;670;603;804;;;0,15
SKA50-S3B00;105;150;150;126;180;;;0,2
GSHD6-8USS2;367,5;490;490;441;588;;;0,15
GSHD6-9USS2;420;560;560;504;672;;;0,15
SKA36-AUB00;84;120;120;100,8;144;;;0,2
SKA36-S3B00;84;120;120;100,8;144;;;0,2
