reference;wholesale_price;price;;;;;;discount
VWR11G501;40,95;68,25;;;;;;30
VWR11G502;40,95;68,25;;;;;;30
VWR11G503;40,95;68,25;;;;;;30
VWR11G701;49,14;81,9;;;;;;30
VWR11G714;53,238;88,73;;;;;;30
VWR11G815;53,238;88,73;;;;;;30
VWR11P0GT;70,717101;101,01;;;;;;19,99
VWR11P1GT;62,119873;88,73;;;;;;19,99
VWR11TR20;45,055508;75,08;;;;;;29,99
VWR11UPGT;55,0095;84,63;;;;;;25
VWR121020;362,138;517,34;;;;;;20
VWR121020ML;362,138;517,34;;;;;;20
VWR121101;318,594;530,99;;;;;;30
VWR1230S3;318,594;530,99;;;;;;30
VWR1230S3C;330,876;551,46;;;;;;30
VWR1241S4;638,82;1064,7;;;;;;30
VWR1241RS;638,82;1064,7;;;;;;30
VWR12A1S1;265,356;442,26;;;;;;30
VWR12A1S1C;281,736;469,56;;;;;;30
VWR12G50D;203,934;339,89;;;;;;30
VWR12G50DC;216,216;360,36;;;;;;30
VWR12G5GT;285,834;476,39;;;;;;30
VWR12G5GTC;298,116;496,86;;;;;;30
VWR12G60D;203,934;339,89;;;;;;30
VWR12G60DC;216,216;360,36;;;;;;30
VWR12G60R;302,214;503,69;;;;;;30
VWR12G60RC;314,496;524,16;;;;;;30
VWR12G6GT;203,934;339,89;;;;;;30
VWR12G6GTC;216,216;360,36;;;;;;30
VWR12G6K03;285,834;476,39;;;;;;30
VWR12G6K03C;298,116;496,86;;;;;;30
VWR12G614;203,934;339,89;;;;;;30
VWR12G70D;224,406;374,01;;;;;;30
VWR12G70DC;236,694;394,49;;;;;;30
VWR12G714;286,65;477,75;;;;;;30
VWR12G714C;298,938;498,23;;;;;;30
VWR12G7CUP;248,976;414,96;;;;;;30
VWR1200R600E;265,356;442,26;;;;;;30
VWR1200R600EUSA;265,356;442,26;;;;;;30
VWR1200R601E;289,926;483,21;;;;;;30
VWR1200R601EUSA;289,926;483,21;;;;;;30
VWR12G7R600;265,356;442,26;;;;;;30
VWR12G7R600USA;265,356;442,26;;;;;;30
VWR12G7R601;289,926;483,21;;;;;;30
VWR12G7R601USA;289,926;483,21;;;;;;30
VWR12G7R602;289,926;483,21;;;;;;30
VWR12G7R602USA;289,926;483,21;;;;;;30
VWR12G7R603;314,496;524,16;;;;;;30
VWR12G7R603USA;314,496;524,16;;;;;;30
VWR1210R600EM;392,964;654,94;;;;;;30
VWR1210R601EM;433,116;721,86;;;;;;30
VWR1210R602M;433,116;721,86;;;;;;30
VWR1210R603M;503,994;839,99;;;;;;30
VWR1210R600EG;392,964;654,94;;;;;;30
VWR1210R601EG;433,116;721,86;;;;;;30
