Reference;Price;Purchase In Euro;Client Discount;Purchase in GBP
VWR11G701;81,9;49,14;30;39,31
VWR11G714;88,73;53,238;30;42,59
VWR11G815;88,73;53,238;30;42,59
VWR11P0GT;101,01;70,717101;19,99;56,57
VWR11P1GT;88,73;62,119873;19,99;49,69
VWR11TR20;75,08;45,055508;29,99;36,04
VWR11UPGT;84,63;55,0095;25;44,01
VWR121020;517,34;362,138;20;289,71
VWR121020ML;517,34;362,138;20;289,71
VWR121101;530,99;318,594;30;254,87
VWR1230S3;530,99;318,594;30;254,87
VWR1230S3C;551,46;330,876;30;264,7
VWR1241S4;1064,7;638,82;30;511,06
VWR1241RS;1064,7;638,82;30;511,06
VWR12A1S1;442,26;265,356;30;212,28
VWR12A1S1C;469,56;281,736;30;225,39
VWR12G50D;339,89;203,934;30;163,14
VWR12G50DC;360,36;216,216;30;172,97
VWR12G5GT;476,39;285,834;30;228,66
VWR12G5GTC;496,86;298,116;30;238,49
VWR12G60D;339,89;203,934;30;163,14
VWR12G60DC;360,36;216,216;30;172,97
VWR12G60R;503,69;302,214;30;241,77
VWR12G60RC;524,16;314,496;30;251,6
VWR12G6GT;339,89;203,934;30;163,14
VWR12G6GTC;360,36;216,216;30;172,97
VWR12G6K03;476,39;285,834;30;228,66
VWR12G6K03C;496,86;298,116;30;238,49
VWR12G614;339,89;203,934;30;163,14
VWR12G70D;374,01;224,406;30;179,52
VWR12G70DC;394,49;236,694;30;189,35
VWR12G714;477,75;286,65;30;229,32
VWR12G714C;498,23;298,938;30;239,15
VWR12G7CUP;414,96;248,976;30;199,18
VWR1200R600E;442,26;265,356;30;212,28
VWR1200R600EUSA;442,26;265,356;30;212,28
VWR1200R601E;483,21;289,926;30;231,94
VWR1200R601EUSA;483,21;289,926;30;231,94
VWR12G7R600;442,26;265,356;30;212,28
VWR12G7R600USA;442,26;265,356;30;212,28
VWR12G7R601;483,21;289,926;30;231,94
VWR12G7R601USA;483,21;289,926;30;231,94
VWR12G7R602;483,21;289,926;30;231,94
VWR12G7R602USA;483,21;289,926;30;231,94
VWR12G7R603;524,16;314,496;30;251,6
VWR12G7R603USA;524,16;314,496;30;251,6
VWR1210R600EM;654,94;392,964;30;314,37
VWR1210R601EM;721,86;433,116;30;346,49
VWR1210R602M;721,86;433,116;30;346,49
VWR1210R603M;839,99;503,994;30;403,19
VWR1210R600EG;654,94;392,964;30;314,37
VWR1210R601EG;721,86;433,116;30;346,49
VWR1210R602G;721,86;433,116;30;346,49
VWR1210R603G;839,99;503,994;30;403,19
VWR12G7R600OS;31,4;18,84;30;15,07
VWR12L0CR;517,34;310,404;30;248,32
VWR12L0CRC;537,81;322,686;30;258,15
VWR12P0GT;365,82;219,492;30;175,59
VWR12P1GT;408,14;244,884;30;195,9
VWR12P1GTC;428,61;257,166;30;205,73
VWR12P2GTG;634,71;380,826;30;304,66
VWR12P2GTM;634,71;380,826;30;304,66
VWR12PRWRC;614,25;522,1125;5;417,69
VWR12UPGT;408,14;244,884;30;195,9
VWR12UPGTCOMP;503,69;302,214;30;241,77
VWR121000;353,54;212,124;30;169,7
VWR121001;353,54;212,124;30;169,7
VWR121002;353,54;212,124;30;169,7
VWR121003;353,54;212,124;30;169,7
VWR1213RS;1442,44;865,464;30;692,37
VWR120000;30,03;22,519497;15,01;18,015
VWR120001;6,83;4,102781;29,93;3,28
VWR120002;6,83;4,102781;29,93;3,28
VWR120030S3PA;47,78;33,441222;20,01;26,75
VWR1200BRAC;34,13;27,304;10;21,84
VWR1200BUNG;21,84;16,375632;15,02;13,1
VWR1200G5PA;47,78;33,441222;20,01;26,75
VWR1200G6PA;47,78;33,441222;20,01;26,75
VWR1200L0CR;47,78;33,441222;20,01;26,75
VWR12G614FO;116,03;81,221;20;64,97
VWR12G6GTFO;102,38;66,557238;24,99;53,24
VWR12G6GTFOC;122,85;79,8525;25;63,88
VWR12G60RAB;102,38;66,557238;24,99;53,24
VWR12G60RFO;102,38;66,557238;24,99;53,24
VWR12G60RFOC;122,85;79,8525;25;63,88
VWR12G7R600FO;102,38;66,557238;24,99;53,24
VWR12G7R600SPAF ;27,3;20,475;15;16,38
VWR12G7R601FO;150,15;97,5975;25;78,08
VWR12G7R602FO;150,15;97,5975;25;78,08
VWR12G7R603FO;177,45;115,3425;25;92,27
VWR12UPGTFO;111,56;72,514;25;58,01
VWR12P1GTFO;102,38;66,557238;24,99;53,24
VWR12P1GTFOC;122,85;79,8525;25;63,88
VWR12PRWRCFO;91,46;59,449;25;47,56
VWR1241S4FO;221,13;154,791;20;123,83
VWR21G702;955,5;573,3;30;458,64
VWR21G702CUP;477,75;286,65;30;229,32
VWR21G702R;955,5;573,3;30;458,64
VWR21G702RCUP;477,75;286,65;30;229,32
VWR21G701;1076,99;646,194;30;516,95
VWR21G70RV;1950,59;1267,8835;25;1014,3
VWR21G70RVRES;2100,74;1365,481;25;1092,38
VWR21G70RNV;1445,54;939,601;25;751,68
VWR21G70RNVRES;1582,04;1028,326;25;822,66
VWR120003;255,26;153,156;30;122,52
VWR120010;255,26;153,156;30;122,52
VWR120011;177,44;106,464;30;85,17
VWR12G7R600ITRED;109,2;65,52;30;52,42
VWR12G7R600ITBLA;109,2;65,52;30;52,42
VWR12G7R600ITBLU;109,2;65,52;30;52,42
VWR12G7R600ITGREY;109,2;65,52;30;52,42
VWR12G7R602ITBLA;109,2;65,52;30;52,42
VWR12G7R600ITINLET;143,33;85,998;30;68,8
VWR12P1GTIS38;288,75;173,25;30;138,6
VWR12P101;95,16;57,105516;29,99;45,68
VWR12P102;55,78;33,473578;29,99;26,78
VWR12UPITINLET;111,93;67,158;30;53,73
VWR140004;226,35;135,81;30;108,65
VWR140006;226,35;135,81;30;108,65
VWR140007;39,38;23,628;30;18,9
VWR140010;226,35;135,81;30;108,65
VWR140011;328,11;196,866;30;157,49
VWR14G700;887,25;532,35;30;425,88
VWR141001;623,75;376,682625;29,61;301,35
VWR143000;1041,25;626,520125;29,83;501,18
VWR14G7IS38COMP;3276;1965,6;30;1572,48
VWR14G7IS38COMP;3276;2457;15;1965,6
VWR14G7IS38CORE;1365;#VALOR!;;1092
VWR160000;163,8;98,28;30;78,62
VWR160001;122,85;73,71;30;58,97
VWR16G7TDEL;122,85;73,71;30;58,97
VWR17G7R600;54,6;32,76;30;26,21
VWR17G8R600;54,6;32,76;30;26,21
VWR90000;43,74;26,388342;29,67;21,11
VWR900001;43,74;26,388342;29,67;21,11
VWR900002;43,74;26,388342;29,67;21,11
VWR13G500;443,63;288,3595;25;230,69
VWR130004;6,14;3,685842;29,97;2,95
VWR130006;58,01;34,811801;29,99;27,85
VWR131000;887,24;532,344;30;425,87
VWR13G500;443,63;288,3595;25;230,69
VWR13G700;668,85;401,31;30;321,05
VWR13G700RFK;54,6;40,95;15;32,76
VWR13G700-SERV;31,4;18,84;30;15,07
VWR130005;21,13;13,654206;25,38;10,92
VWR180000;15,02;7,514506;39,97;6,01
VWR180001;54,6;32,76;30;26,21
VWR180002;30,03;18,011994;30,02;14,41
VWR180003;30,03;18,011994;30,02;14,41
VWR180004;38,22;22,935822;29,99;18,35
VWR180005;5,25;3,15;30;2,52
VWR180006;17,05;8,525;40;6,82
VWR18G700;600,6;360,36;30;288,29
VWR18G700-EUBRACKETS;47,78;31,052222;25,01;24,84
VWR18G700-SERV;31,4;18,84;30;15,07
VWR190000;109,2;54,6;40;43,68
VWR190001;133,77;66,885;40;53,51
VWR190002;81,9;40,95;40;32,76
VWR190003;135,14;67,57;40;54,05
VWR190004;81,9;40,95;40;32,76
VWR190005;67,6;33,8;40;27,154
VWR190006;98,39;49,195;40;40,25
VWR19G701;68,25;34,125;40;27,3
VWR19G702;81,9;40,95;40;32,76
VWR19G703;95,55;47,775;40;38,22
VWR19G704;81,9;40,95;40;32,76
VWR19G706;88,73;44,365;40;35,49
VWR19G707;81,9;40,95;40;32,76
VWR19G708;95,55;47,775;40;38,22
VWR19G709;102,38;51,19;40;40,95
VWR19G711;109,2;54,6;40;43,68
VWR493000;187,49;112,494;30;89,99
VWR493001;187,49;112,494;30;89,99
VWR494100;187,49;112,494;30;89,99
VWR494101;187,49;112,494;30;89,99
VWR49G700;187,49;112,494;30;89,99
VWR49G701;187,49;112,494;30;89,99
VWR700000;136,49;81,894;30;65,51
VWR810000;28,67;14,340734;39,98;11,47
VWR810002;80,54;48,324;30;38,66
VWR810003;273;163,8;30;131,04
VWR810004;204,75;122,85;30;98,28
VWR810005;177,45;106,47;30;85,18
VWR810006;286,65;171,99;30;137,59
VWR810009;57,33;34,398;30;27,52
VWR8130S3;455,91;273,546;30;218,84
VWR8130S3-SEDAN;455,91;273,546;30;218,84
VWR814100;443,63;266,178;30;212,94
VWR81G700;455,91;273,546;30;218,84
VWR81G7-HARDWARE;23,21;13,928321;29,99;11,14
VWR800000;10,24;6,13888;30,05;4,91
VWR800001;10,24;6,13888;30,05;4,91
VWR800004;10,24;6,13888;30,05;4,91
VWR800002;10,24;6,13888;30,05;4,91
VWR800003;10,24;6,13888;30,05;4,91
VWR800001-BLK;47,78;28,663222;30,01;22,93
VWR800001-SVR;47,78;28,663222;30,01;22,93
VWR800002-BLK;50,51;32,826449;25,01;26,26
VWR800002-SVR;50,51;32,826449;25,01;26,26
VWR150000;113,73;68,238;30;54,59
VWR150001;341,24;204,744;30;163,79
VWR150002;292,11;219,0825;15;175,27
VWR150003;104,99;62,994;30;50,39
VWR150004;104,99;62,994;30;50,39
VWR15G501;292,11;219,0825;15;175,27
VWR15G502;292,11;219,0825;15;175,27
VWR15G503;217,04;151,928;20;121,54
VWR15G503-RACE;217,04;151,928;20;121,54
VWR15G701;436,8;327,6;15;262,08
VWR15G702;409,5;307,125;15;245,7
VWR15G703;273;204,75;15;163,8
VWR29G7250;716,63;429,978;30;343,98
VWR29DQ381;749,39;449,634;30;359,7
VWR600007;1500,14;900,084;30;720,06
VWR610007;412,53;247,518;30;198,02
VWR600360BLK;1500,14;900,084;30;720,06
VWR600360GUN;1500,14;900,084;30;720,06
VWR600360SVR;1500,14;900,084;30;720,06
VWR610360BLK;412,53;247,518;30;198,02
VWR610360GUN;412,53;247,518;30;198,02
VWR610360SVR;412,53;247,518;30;198,02
VWR630000;163,8;98,28;30;78,62
VWR630001;163,8;98,28;30;78,62
VWR630002;163,8;98,28;30;78,62
VWR630003;163,8;98,28;30;78,62
VWR630007;5,46;3,274908;30,02;2,62
VWR630008;5,46;3,274908;30,02;2,62
VWR630009;2,73;1,637454;30,02;1,31
VWR630010;2,73;1,637454;30,02;1,31
VWR630100;22,5;13,437;30,28;10,75
VWR630137;2,5;1,5;30;1,2
VWR630139;2,5;1,5;30;1,2
VWR630142;2,5;1,5;30;1,2
VWR630147;2,5;1,5;30;1,2
VWR630237;2,5;1,5;30;1,2
VWR630239;2,5;1,5;30;1,2
VWR630242;2,5;1,5;30;1,2
VWR630247;2,5;1,5;30;1,2
VWR640012;87,49;53,167673;29,23;42,53
VWR640015;93,74;56,459602;29,77;45,17
VWR640017;99,99;60,453954;29,54;48,36
VWR640020;106,24;64,200832;29,57;51,36
VWR640112;87,49;53,167673;29,23;42,53
VWR640115;93,74;56,459602;29,77;45,17
VWR640117;99,99;60,453954;29,54;48,36
VWR640120;106,24;64,200832;29,57;51,36
VWR699999;13,65;8,18727;30,02;6,55
VWR030000;1125;#VALOR!;;900
VWR030000-F3RSQ3;778,7;467,22;30;373,78
VWR030000-F3RSQ3OPF;778,7;467,22;30;373,78
VWR030000-IS20;778,7;467,22;30;373,78
VWR030000-IS38;778,7;467,22;30;373,78
VWR030000-IS20-E;778,7;467,22;30;373,78
VWR030000-IS38-E;778,7;467,22;30;373,78
VWR030001-GAR;778,7;467,22;30;373,78
VWR030001-CONT;778,7;467,22;30;373,78
VWR030001-GAR-R;778,7;467,22;30;373,78
VWR030001-CONT-R;778,7;467,22;30;373,78
VWR030001-RS38YOPF;778,7;467,22;30;373,78
VWR030001-RS38Y;778,7;467,22;30;373,78
VWR030002-115E;778,7;467,22;30;373,78
VWR030002-150E;778,7;467,22;30;373,78
VWR030002-200E;778,7;467,22;30;373,78
VWRA001S;27,3;20,475;15;16,38
VWRA001M;27,3;20,475;15;16,38
VWRA001L;27,3;20,475;15;16,38
VWRA001XL;27,3;20,475;15;16,38
VWRA001XXL;27,3;20,475;15;16,38
VWRA002S;51,19;38,387381;15,01;30,71
VWRA002M;51,19;38,387381;15,01;30,71
VWRA002L;51,19;38,387381;15,01;30,71
VWRA002XL;51,19;38,387381;15,01;30,71
VWRA002XXL;51,19;38,387381;15,01;30,71
VWRA003S;51,19;38,387381;15,01;30,71
VWRA003M;51,19;38,387381;15,01;30,71
VWRA003L;51,19;38,387381;15,01;30,71
VWRA003XL;51,19;38,387381;15,01;30,71
VWRA003XXL;51,19;38,387381;15,01;30,71
VWRA004S;51,19;38,387381;15,01;30,71
VWRA004M;51,19;38,387381;15,01;30,71
VWRA004L;51,19;38,387381;15,01;30,71
VWRA004XL;51,19;38,387381;15,01;30,71
VWRA004XXL;51,19;38,387381;15,01;30,71
VWRA10000;8,19;6,137586;15,06;4,91
