reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
VWR620005MM;57,33;81,9;81,9;71,67;102,38;;;20
VWR670004;65,52;109,2;109,2;81,9;136,5;;;30
VWR670005;40,95;68,25;68,25;51,19;85,31;;;30
VWR670006;81,9;136,5;136,5;102,38;170,63;;;30
VWR670007;40,95;68,25;68,25;51,19;85,31;;;30
VWR670008;40,95;68,25;68,25;51,19;85,31;;;30
VWR682000;129,45;199,99;199,99;161,82;249,99;;;25
VWR680020;3334,8;4168,5;4168,5;4168,5;5210,63;;;10
VWR680012;3468,8;4335,24;4335,24;4335,78;5419,05;;;10
VWR680013;3468,8;4335,24;4335,24;4335,78;5419,05;;;10
VWR69G7FR;42,59;70,98;70,98;53,24;88,73;;;30
VWR69G7RR;42,59;70,98;70,98;53,24;88,73;;;30
VWR69G7KIT;72,07;120,12;120,12;90,09;150,15;;;30
VWR69000BF1;7,64;15,29;15,29;9,55;19,11;;;40
VWR650000-PK;129,67;199,49;199,49;162,08;249,36;;;25
VWR670000;97,62;162,71;162,71;122,03;203,39;;;30
VWR6700TRACK;245,97;289,38;289,38;307,47;361,73;;;5
VWR670001;95;158,34;158,34;118,76;197,93;;;30
VWR670002;140,87;234,78;234,78;176,09;293,48;;;30
VWR670003;198,74;283,92;283,92;248,43;354,9;;;20
VWR670009;91,07;151,79;151,79;113,84;189,74;;;30
VWR6700CARBON;273;340;340;341,23;425;;;10
VWR680000;327,6;436,8;436,8;409,5;546;;;15
VWR680001;327,6;436,8;436,8;409,5;546;;;15
VWR680002;307,13;409,5;409,5;383,91;511,88;;;15
VWR680003;368,55;491,4;491,4;460,69;614,25;;;15
VWR680004;409,5;546;546;511,88;682,5;;;15
VWR680005;153,15;204,2;204,2;191,45;255,26;;;15
VWR680006;24,57;32,76;32,76;30,71;40,95;;;15
VWR680007;24,57;32,76;32,76;30,71;40,95;;;15
VWR680008;163,5;218,4;218,4;204,37;273;;;15
VWR680011;245,7;327,6;327,6;307,13;409,5;;;15
VWR680014;307,13;409,5;409,5;383,91;511,88;;;15
VWR680015;18,02;24,02;24,02;22,53;30,03;;;15
VWR680016;18,02;24,02;24,02;22,53;30,03;;;15
