"Manufacturer","Price","Reference","Name","EAN13","Category","Weight","Height","Width","Length"
"Mishimoto","314.60","MMAI-BRZ-13BBL","Mishimoto Subaru/Scion/Toyota BRZ/FR-S/86 Air Intake Kit, 2013+, Blue","748354020229","Air Intake Kits & Components","19.28","10","16","20"
"Mishimoto","373.07","MMAI-BRZ-13BRD","Mishimoto Subaru/Scion/Toyota BRZ/FR-S/86 Air Intake Kit, 2013+, Red","748354020236","Air Intake Kits & Components","19.28","10","16","20"
"Mishimoto","328.47","MMAI-BRZ-13P","Mishimoto Subaru/Scion/Toyota BRZ/FR-S/86 Cold Air Intake Kit, 2013+, Polished","748354012590","Air Intake Kits & Components","13.49","8","14","20"
"Mishimoto","328.47","MMAI-BRZ-13WBK","Mishimoto Subaru/Scion/Toyota BRZ/FR-S/86 Cold Air Intake Kit, 2013+, Wrinkle Black","748354012606","Air Intake Kits & Components","13.49","8","14","20"
"Mishimoto","290.90","MMAI-CIV-16BK","Mishimoto Honda Civic 1.5T Air Intake Kit, 2016-2021, Black","748354030600","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","290.90","MMAI-CIV-16BL","Mishimoto Honda Civic 1.5T Air Intake Kit, 2016-2021, Blue","748354030617","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","290.90","MMAI-CIV-16RD","Mishimoto Honda Civic 1.5T Air Intake Kit, 2016-2021, Red","748354030624","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","392.83","MMAI-CLA45-14BK","Mishimoto 2014-2019 Mercedes-Benz CLA45 AMG Performance Air Intake","748354021233","Air Intake Kits & Components","19.28","10","16","20"
"Mishimoto","476.14","MMAI-CTR-17","Mishimoto 17-21 Honda Civic Type-R Performance Air intake","811580032851","Air Intake Kits & Components","19.28","10","16","20"
"Mishimoto","419.07","MMAI-CTR-17UBK","Mishimoto 17-21 Honda Civic Type-R Inlet Pipe Upgrade Kit, Black","840197702277","Air Intake Kits & Components","34.7","12","20","24"
"Mishimoto","419.07","MMAI-CTR-17URD","Mishimoto 17-21 Honda Civic Type-R Inlet Pipe Upgrade Kit, Red","840197702284","Air Intake Kits & Components","34.7","12","20","24"
"Mishimoto","256.52","MMAI-E46-01BK","Mishimoto BMW E46 330i Air Intake Kit, 2001-2006","748354026634","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","234.76","MMAI-E46-99BK","Mishimoto BMW E46 323i/325i/328i Air Intake Kit, 1999-2005","748354020694","Air Intake Kits & Components","13.49","8","14","20"
"Mishimoto","406.09","MMAI-F30-12P","Mishimoto BMW F3X 3-Series N20/N26 Air Intake Kit, 2012-2017, Polished","748354022889","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","406.09","MMAI-F30-12WBK","Mishimoto BMW F3X 3-Series N20/N26 Air Intake Kit, 2012-2017, Wrinkle Black","748354022896","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","357.53","MMAI-FIST-14P","Mishimoto Ford Fiesta ST Air Intake Kit, 2014-2015, Polished","748354025743","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","357.53","MMAI-FIST-14WBK","Mishimoto Ford Fiesta ST Air Intake Kit, 2014-2015, Wrinkle Black","748354025750","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","357.53","MMAI-FIST-14WRD","Mishimoto Ford Fiesta ST Air Intake Kit, 2014-2015, Wrinkle Red","748354025767","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","372.01","MMAI-FOST-13P","Mishimoto Ford Focus ST Air Intake Kit, 2013-2018, Polished","748354026078","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","372.01","MMAI-FOST-13WBK","Mishimoto Ford Focus ST Air Intake Kit, 2013-2018, Wrinkle Black","748354026085","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","768.86","MMAI-G80-21","Mishimoto 2021+ BMW G8X M3/M4 Performance Intake","840197707869","Air Intake Kits & Components","62.46","18","18","32"
"Mishimoto","1847.00","MMAI-G80-21CFG","Mishimoto 2021+ BMW G8X M3/M4 Performance Intake, Carbon Fiber, Gloss","840197712146","Air Intake Kits & Components","43.37","15","15","32"
"Mishimoto","1847.00","MMAI-G80-21CFM","Mishimoto 2021+ BMW G8X M3/M4 Performance Intake, Carbon Fiber, Matte","840197712139","Air Intake Kits & Components","43.37","15","15","32"
"Mishimoto","646.00","MMAI-G80-21H","Mishimoto 2021+ BMW G8X M3/M4 Performance Intake, Heatshield Design","840197718391","Air Intake Kits & Components","43.37","15","15","32"
"Mishimoto","487.50","MMAI-MIA-16P","Mishimoto Mazda Miata Air Intake Kit, 2016+, Polished","748354025965","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","487.50","MMAI-MIA-16WBK","Mishimoto Mazda Miata Air Intake Kit, 2016+, Wrinkle Black","748354025972","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","487.50","MMAI-MIA-16WRD","Mishimoto Mazda Miata Air Intake Kit, 2016+, Wrinkle Red","748354025989","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","284.92","MMAI-MIN-14P","Mishimoto Mini Cooper S Air Intake Kit, 2014+, Polished","748354027044","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","284.92","MMAI-MIN-14WBK","Mishimoto Mini Cooper S Air Intake Kit, 2014+, Wrinkle Black","748354027051","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","284.92","MMAI-MIN-14WRD","Mishimoto Mini Cooper S Air Intake Kit, 2014+, Wrinkle Red","748354027068","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","313.32","MMAI-MK7-15P","Mishimoto Volkswagen GTI Air Intake Kit, 2015+, Polished","748354027419","Air Intake Kits & Components","19.28","10","16","20"
"Mishimoto","313.32","MMAI-MK7-15WBK","Mishimoto Volkswagen GTI Air Intake Kit, 2015+, Wrinkle Black","748354027426","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","313.32","MMAI-MK7-15WRD","Mishimoto Volkswagen GTI Air Intake Kit, 2015+, Wrinkle Red","748354027433","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","460.69","MMAI-MK7-15X","Mishimoto 2015+ VW GTI/TSI/R / 2015+ Audi A3 Performance Air Intake","840197706046","Air Intake Kits & Components","37.01","12","16","32"
"Mishimoto","143.58","MMAI-MK7-TI","Mishimoto 2015+ Volkswagen GTI/TSI/R / 2015+ Audi A3 Turbo Inlet Pipe","840197706381","Air Intake Kits & Components","1.77","6","7","7"
"Mishimoto","351.19","MMAI-MUS4-15P","Mishimoto 2015-2017 Ford Mustang Ecoboost Air Intake, Polished","748354018943","Air Intake Kits & Components","54.65","18","18","28"
"Mishimoto","351.19","MMAI-MUS4-15WBK","Mishimoto 2015-2017 Ford Mustang Ecoboost Air Intake, Wrinkle Black","748354018950","Air Intake Kits & Components","54.65","18","18","28"
"Mishimoto","341.72","MMAI-MUS8-15BK","Mishimoto 2015-2017 Ford Mustang GT Performance Air Intake, Black","748354034561","Air Intake Kits & Components","23.13","10","16","24"
