reference;wholesale_price;price;;
S-PO/TI/8;1768,1925;2357,59;;
L-PO997GT3CSET;847,755;1130,34;;
E-PO/T/5;4616,91;6155,88;;
E-PO/T/4;6646,9575;8862,61;;
TP-PO991GT3/BOX;1243,365;1657,82;;
TP-T/S/17/H;901,9575;1202,61;;
TP-T/S/17;901,9575;1202,61;;
DI-PO/CA/7/G;1652,1;2202,8;;
DI-PO/CA/7/G;1652,1;2202,8;;
TP-T/S/17;901,9575;1202,61;;
S-PO/TI/15;3295,2675;4393,69;;
S-PO/TI/8;1768,1925;2357,59;;
E-PO/T/6/1;6646,9575;8862,61;;
TP-T/S/19;901,9575;1202,61;;
S-PO/TI/23;2988,75;3985;;
P-CP034;1106,25;1475;;
MTP-PO997GT3H/1;3227,58;4303,44;;
TP-PO997GT3H;894,3675;1192,49;;
TP-PO997GT3H;894,3675;1192,49;;
MTP-PO997GT3H/1;3227,58;4303,44;;
MTP-PO997GT3H/1;3227,58;4303,44;;
TP-PO997GT3H;894,3675;1192,49;;
TP-T/S/19;901,9575;1202,61;;
E-PO/T/6/1;6646,9575;8862,61;;
S-PO/TI/8;1768,1925;2357,59;;
S-PO/TI/15;3295,2675;4393,69;;
TP-T/S/17;901,9575;1202,61;;
P-HF870;527,1675;702,89;;
S-PO/TI/6H;3554,2425;4738,99;;
L-PO/SS/2H;3383,715;4511,62;;
DI-PO/CA/4/M;1835,55;2447,4;;
DI-PO/CA/4/G;2095,125;2793,5;;
L-PO/SS/4;3491,73;4655,64;;
P-X277;225,045;300,06;;
S-PO/TI/19;2775,6075;3700,81;;
TP-T/S/33;896,385;1195,18;;
TP-T/S/34;848,25;1131;;
TP-T/S/34;848,25;1131;;
TP-T/S/33;896,385;1195,18;;
S-PO/TI/19;2775,6075;3700,81;;
P-X277;225,045;300,06;;
L-PO/SS/4;3491,73;4655,64;;
S-PO991TSO-HT;4592,055;6122,74;;
DI-PO/CA/2;1266,5925;1688,79;;
L-PO991T/2;1826,5875;2435,45;;
L-PO997TFLS-100;3850,68;5134,24;;
P-HF964;362,445;483,26;;
P-HF964;362,445;483,26;;
P-HF964;362,445;483,26;;
L-PO/T/7;543,5025;724,67;;
S-PO/TI/12;4377,27;5836,36;;
P-HF1199;286,4625;381,95;;
TP-CT/53;1173,9525;1565,27;;
TP-T/S/23;1173,9525;1565,27;;
TP-T/S/23;1173,9525;1565,27;;
TP-CT/53;1173,9525;1565,27;;
S-PO/TI/11H;4541,0775;6054,77;;
P-HF1199;286,4625;381,95;;
L-PO/T/3;543,5025;724,67;;
P-HF1199;286,4625;381,95;;
S-PO/TI/12;4377,27;5836,36;;
TP-CT/53;1173,9525;1565,27;;
TP-T/S/23;1173,9525;1565,27;;
TP-T/S/23;1173,9525;1565,27;;
TP-CT/53;1173,9525;1565,27;;
S-PO/TI/11H;4541,0775;6054,77;;
P-HF1199;286,4625;381,95;;
E-PO/T/3;1266,5925;1688,79;;
P-HF1199;286,4625;381,95;;
TP-CT/53;1173,9525;1565,27;;
TP-T/S/23;1173,9525;1565,27;;
S-PO/TI/20;4804,9875;6406,65;;
S-PO/TI/20;4804,9875;6406,65;;
TP-T/S/23;1173,9525;1565,27;;
TP-CT/53;1173,9525;1565,27;;
P-HF1199;286,4625;381,95;;
L-PO/T/4;543,5025;724,67;;
L-PO/T/4;543,5025;724,67;;
P-HF872;846,9675;1129,29;;
P-HF1003;886,3725;1181,83;;
E-PO/T/3;1266,5925;1688,79;;
P-HF872;846,9675;1129,29;;
P-HF1199;286,4625;381,95;;
TP-CT/53;1173,9525;1565,27;;
TP-T/S/23;1173,9525;1565,27;;
S-PO/TI/17H;4541,0775;6054,77;;
S-PO/TI/17H;4541,0775;6054,77;;
TP-T/S/23;1173,9525;1565,27;;
TP-CT/53;1173,9525;1565,27;;
P-HF1199;286,4625;381,95;;
P-HF872;846,9675;1129,29;;
P-HF1199;286,4625;381,95;;
TP-CT/53;1173,9525;1565,27;;
TP-T/S/23;1173,9525;1565,27;;
S-PO/TI/17H;4541,0775;6054,77;;
S-PO/TI/17H;4541,0775;6054,77;;
TP-T/S/23;1173,9525;1565,27;;
TP-CT/53;1173,9525;1565,27;;
P-HF1199;286,4625;381,95;;
P-HF964;362,445;483,26;;
P-HF964;362,445;483,26;;
P-HF964;362,445;483,26;;
S-PO/TI/7H;5098,7475;6798,33;;
DI-PO/CA/5/G;1372,0275;1829,37;;
DI-PO/CA/5/G;1372,0275;1829,37;;
P-HF1228;315,195;420,26;;
S-PO/TI/7H;5098,7475;6798,33;;
DI-PO/CA/5/G;1372,0275;1829,37;;
S-PO/TI/7H;5098,7475;6798,33;;
P-HF641;130,59;174,12;;
TP-CT/48;1173,9525;1565,27;;
P-HF1149;286,4625;381,95;;
S-PO/TI/13;3139,6275;4186,17;;
TP-T/S/18;1173,9525;1565,27;;
P-HF641;130,59;174,12;;
TP-T/S/18;1173,9525;1565,27;;
P-HF1149;286,4625;381,95;;
TP-CT/48;1173,9525;1565,27;;
S-PO/TI/16;3139,6275;4186,17;;
P-HF641;130,59;174,12;;
TP-CT/48;1173,9525;1565,27;;
P-HF1149;286,4625;381,95;;
TP-T/S/18;1173,9525;1565,27;;
S-PO/TI/16;3139,6275;4186,17;;
P-HF641;130,59;174,12;;
TP-T/S/18;1173,9525;1565,27;;
P-HF1170;158,4675;211,29;;
S-PO/TI/9H;4741,29;6321,72;;
P-HF1149;286,4625;381,95;;
TP-CT/48;1173,9525;1565,27;;
P-HF641;130,59;174,12;;
P-HF871;516,825;689,1;;
P-HF871;516,825;689,1;;
TP-CT/48;1173,9525;1565,27;;
P-HF1149;286,4625;381,95;;
P-HF1170;158,4675;211,29;;
TP-T/S/18;1173,9525;1565,27;;
S-PO/TI/9H;4741,29;6321,72;;
P-HF871;516,825;689,1;;
P-HF871;516,825;689,1;;
TP-T/S/18;1173,9525;1565,27;;
P-HF1170;158,4675;211,29;;
P-HF1149;286,4625;381,95;;
TP-CT/48;1173,9525;1565,27;;
S-PO/TI/9H;4741,29;6321,72;;
L-RECL3RS/1;228,36;304,48;;
MTP-RECL3RSH;849,6525;1132,87;;
S-RE/T/1;1737,165;2316,22;;
S-RE/T/4H;2270,535;3027,38;;
L-RE/T/2;384,0075;512,01;;
L-RE/T/2;384,0075;512,01;;
S-RE/T/4H;2270,535;3027,38;;
S-TY/T/2;2058,21;2744,28;;
E-TY/SS/3;327,4425;436,59;;
DP-TY/SS/1;1622,1;2162,8;;
S-TY/T/1H;2448;3264;;
E-TY/SS/1;875,1675;1166,89;;
S-TY/T/1H;2448;3264;;
E-TY/SS/2;875,1675;1166,89;;
DP-TY/SS/2;1622,1;2162,8;;
TP-VWGMK6-CA;506,6175;675,49;;
TP-VWGMK6-CA;506,6175;675,49;;
TP-VWGMK6-CA;506,6175;675,49;;
TP-VWGMK6-CA;506,6175;675,49;;
TP-VWGMK6-CA;506,6175;675,49;;
MTP-VW/T/1H;1475,9025;1967,87;;
S-VW/T/1;2811,225;3748,3;;
DI-VW/CA/1;825,075;1100,1;;
MTP-VW/T/2;1475,9025;1967,87;;
MTP-VW/T/3H;1570,215;2093,62;;
MTP-VW/T/4H;1570,215;2093,62;;
MTP-VW/T/4H;1570,215;2093,62;;
MTP-VW/T/3H;1570,215;2093,62;;
