reference;wholesale_price;price;;
WM-BM/CA/2/G;607,26;809,68;;
WM-BM/CA/2/M;526,89;702,52;;
WM-BM/CA/2/M;526,89;702,52;;
WM-BM/CA/2/G;607,26;809,68;;
S-BM/T/3H;3482,7975;4643,73;;
E-BM/T/5;1741,4025;2321,87;;
DI-BM/CA/3/M;901,77;1202,36;;
DI-BM/CA/3/G;1047,5175;1396,69;;
DP-BM/SS/3;1088,91;1451,88;;
P-HF1177;509,88;679,84;;
S-BM/T/34H;3187,5;4250;;
DP-BM/SS/8;2423,925;3231,9;;
DP-BM/SS/9;1424,5875;1899,45;;
E-BM/T/12;1467,1125;1956,15;;
WI-BM/CA/1/G;2673,75;3565;;
P-HF1523;93,75;125;;
TP-CT/69;1271,4975;1695,33;;
TP-CT/68;1177,9425;1570,59;;
WM-BM/CA/4/M;806,25;1075;;
WM-BM/CA/4/G;892,5;1190;;
E-BM/SS/9;1012,5;1350;;
P-HF1384;338,67;451,56;;
DI-BM/CA/10/M;1046,25;1395;;
DI-BM/CA/10/G;1162,5;1550;;
DI-BM/CA/10/G;1162,5;1550;;
DI-BM/CA/10/M;1046,25;1395;;
P-HF1384;338,67;451,56;;
E-BM/SS/9;1012,5;1350;;
WM-BM/CA/4/G;892,5;1190;;
WM-BM/CA/4/M;806,25;1075;;
TP-CT/68;1177,9425;1570,59;;
TP-CT/69;1271,4975;1695,33;;
P-HF1523;93,75;125;;
WI-BM/CA/1/G;2673,75;3565;;
E-BM/T/12;1467,1125;1956,15;;
DP-BM/SS/9;1424,5875;1899,45;;
DP-BM/SS/8;2423,925;3231,9;;
S-BM/T/34H;3187,5;4250;;
P-HF1177;509,88;679,84;;
DP-BM/SS/3;1088,91;1451,88;;
DI-BM/CA/3/G;1047,5175;1396,69;;
DI-BM/CA/3/M;901,77;1202,36;;
E-BM/T/5;1741,4025;2321,87;;
S-BM/T/3H;3482,7975;4643,73;;
WM-BM/CA/2/G;607,26;809,68;;
WM-BM/CA/2/M;526,89;702,52;;
WM-BM/CA/2/M;526,89;702,52;;
WM-BM/CA/2/G;607,26;809,68;;
E-BM/T/5;1741,4025;2321,87;;
DI-BM/CA/3/M;901,77;1202,36;;
DI-BM/CA/3/G;1047,5175;1396,69;;
DP-BM/SS/3;1088,91;1451,88;;
P-HF1385;315,4125;420,55;;
S-BM/T/26H;3652,8975;4870,53;;
MTP-BM/SS/4H;1838,46;2451,28;;
E-BM/SS/3;528,96;705,28;;
WM-BM/CA/1/G;491,1675;654,89;;
WM-BM/CA/1/M;401,865;535,82;;
WM-BM/CA/1/M;401,865;535,82;;
WM-BM/CA/1/G;491,1675;654,89;;
P-HF1185;351,3525;468,47;;
S-BM/T/8H;2047,5825;2730,11;;
S-BM/T/32H;4044,75;5393;;
P-HF1452;324,345;432,46;;
P-HF1452;324,345;432,46;;
S-BM/T/32H;4044,75;5393;;
TP-CT/3;1107,0825;1476,11;;
TP-CT/3;1107,0825;1476,11;;
ME-BM/T/2;4324,83;5766,44;;
M-BM/T/8H;2456,19;3274,92;;
DI-BM/CA/1;763,5375;1018,05;;
E-BM/T/3;1543,9725;2058,63;;
TP-T/S/8;1101,765;1469,02;;
TP-CT/26;1101,765;1469,02;;
DP-BM/SS/3;1088,91;1451,88;;
WM-BM/CA/2/G;607,26;809,68;;
DI-BM/CA/4/G;1026,9825;1369,31;;
WM-BM/CA/2/M;526,89;702,52;;
P-HF1100;547,245;729,66;;
WI-BM/CA/1/G;2673,75;3565;;
DI-BM/CA/9/GB;1537,38;2049,84;;
S-BM/TI/33H;3988,845;5318,46;;
P-HF1481;288,75;385;;
E-BM/SS/9;1012,5;1350;;
DP-BM/SS/9;1424,5875;1899,45;;
P-HF1384;338,67;451,56;;
DI-BM/CA/9/G;1237,4775;1649,97;;
E-BM/T/12;1467,1125;1956,15;;
TP-CT/68;1177,9425;1570,59;;
TP-CT/69;1271,4975;1695,33;;
DP-BM/SS/8;2423,925;3231,9;;
DP-BM/SS/8;2423,925;3231,9;;
TP-CT/69;1271,4975;1695,33;;
TP-CT/68;1177,9425;1570,59;;
E-BM/T/12;1467,1125;1956,15;;
DI-BM/CA/9/G;1237,4775;1649,97;;
P-HF1384;338,67;451,56;;
DP-BM/SS/9;1424,5875;1899,45;;
E-BM/SS/9;1012,5;1350;;
P-HF1481;288,75;385;;
S-BM/TI/33H;3988,845;5318,46;;
DI-BM/CA/9/GB;1537,38;2049,84;;
WI-BM/CA/1/G;2673,75;3565;;
S-BM/T/30H;4012,5;5350;;
P-HF1351;324,345;432,46;;
DP-TY/SS/1;1622,1;2162,8;;
P-HF1351;324,345;432,46;;
E-BM/SS/8;933,21;1244,28;;
S-BM/T/30H;4012,5;5350;;
P-HF1100;547,245;729,66;;
WM-BM/CA/2/M;526,89;702,52;;
DI-BM/CA/4/G;1026,9825;1369,31;;
WM-BM/CA/2/G;607,26;809,68;;
DP-BM/SS/3;1088,91;1451,88;;
TP-CT/26;1101,765;1469,02;;
TP-T/S/8;1101,765;1469,02;;
M-BM/T/8H;2456,19;3274,92;;
E-BM/T/3;1543,9725;2058,63;;
DI-BM/CA/1;763,5375;1018,05;;
DI-BM/CA/1;763,5375;1018,05;;
WM-BM/CA/2/G;607,26;809,68;;
DI-BM/CA/4/G;1026,9825;1369,31;;
WM-BM/CA/2/M;526,89;702,52;;
DP-BM/SS/3;1088,91;1451,88;;
S-BM/T/4H;3594,645;4792,86;;
E-BM/T/6;1777,125;2369,5;;
P-HF1194;509,88;679,84;;
DI-BM/CA/9/GB;1537,38;2049,84;;
S-BM/TI/33H;3988,845;5318,46;;
P-HF1482;288,75;385;;
WI-BM/CA/1/G;2673,75;3565;;
E-BM/SS/9;1012,5;1350;;
DI-BM/CA/9/G;1237,4775;1649,97;;
P-HF1384;338,67;451,56;;
DP-BM/SS/9;1424,5875;1899,45;;
E-BM/T/12;1467,1125;1956,15;;
TP-CT/68;1177,9425;1570,59;;
TP-CT/69;1271,4975;1695,33;;
DP-BM/SS/8;2423,925;3231,9;;
DP-BM/SS/8;2423,925;3231,9;;
TP-CT/69;1271,4975;1695,33;;
TP-CT/68;1177,9425;1570,59;;
E-BM/T/12;1467,1125;1956,15;;
DP-BM/SS/9;1424,5875;1899,45;;
P-HF1384;338,67;451,56;;
DI-BM/CA/9/G;1237,4775;1649,97;;
E-BM/SS/9;1012,5;1350;;
WI-BM/CA/1/G;2673,75;3565;;
P-HF1482;288,75;385;;
S-BM/TI/33H;3988,845;5318,46;;
DI-BM/CA/9/GB;1537,38;2049,84;;
S-BM/T/31H;4012,5;5350;;
P-HF1351;324,345;432,46;;
DP-TY/SS/1;1622,1;2162,8;;
E-BM/SS/8;933,21;1244,28;;
P-HF1351;324,345;432,46;;
S-BM/T/31H;4012,5;5350;;
S-BM/T/30H;4012,5;5350;;
P-HF1351;324,345;432,46;;
DP-TY/SS/1;1622,1;2162,8;;
E-BM/SS/8;933,21;1244,28;;
P-HF1351;324,345;432,46;;
S-BM/T/30H;4012,5;5350;;
TP-CT/10;1128,39;1504,52;;
ME-BM/T/4;4829,85;6439,8;;
TP-T/S/5;1107,0825;1476,11;;
TP-CT/47/RS;1173,9525;1565,27;;
DI-BM/CA/5/G/RS;1026,9825;1369,31;;
S-BM/T/2H;5098,7475;6798,33;;
DI-BM/CA/5/M/RS;884,1;1178,8;;
WM-BM/CA/3/G;651,915;869,22;;
WM-BM/CA/3/M;580,47;773,96;;
P-HF1132;403,455;537,94;;
S-BM/T/7H;3185,1225;4246,83;;
TP-CT/47/RS;1173,9525;1565,27;;
P-HF1132;403,455;537,94;;
WM-BM/CA/3/M;580,47;773,96;;
WM-BM/CA/3/G;651,915;869,22;;
DI-BM/CA/5/M/RS;884,1;1178,8;;
DI-BM/CA/5/G/RS;1026,9825;1369,31;;
S-BM/T/27H;3244,41;4325,88;;
TP-T/S/5;1107,0825;1476,11;;
TP-CT/10;1128,39;1504,52;;
ME-BM/T/5;5071,3425;6761,79;;
TP-CT/10;1128,39;1504,52;;
TP-T/S/5;1107,0825;1476,11;;
ME-BM/T/6H;5278,1625;7037,55;;
WM-BM/CA/3/G;651,915;869,22;;
WM-BM/CA/3/M;580,47;773,96;;
S-BM/T/23;6233,745;8311,66;;
DI-BM/CA/7/G;1241,31;1655,08;;
P-HF1263;640,125;853,5;;
DI-BM/CA/7/M;1143,075;1524,1;;
S-BM/T/22H;4386,3675;5848,49;;
E-BM/T/9;1848,5625;2464,75;;
DI-BM/CA/7/M;1143,075;1524,1;;
P-HF1263;640,125;853,5;;
DI-BM/CA/7/G;1241,31;1655,08;;
WM-BM/CA/3/M;580,47;773,96;;
WM-BM/CA/3/G;651,915;869,22;;
S-BM/T/22H;4386,3675;5848,49;;
S-BM/T/25;6333,84;8445,12;;
DI-BM/CA/7/G;1241,31;1655,08;;
P-HF1263;640,125;853,5;;
DI-BM/CA/7/M;1143,075;1524,1;;
WM-BM/CA/3/G;651,915;869,22;;
WM-BM/CA/3/M;580,47;773,96;;
E-BM/T/10;1946,7975;2595,73;;
S-BM/T/24H;4386,3675;5848,49;;
DI-BM/CA/7/M;1143,075;1524,1;;
P-HF1263;640,125;853,5;;
DI-BM/CA/7/G;1241,31;1655,08;;
